Accession	Taxid	Species_NCBI	Species_ICTV	Segment	Sequence_Type	Category	Topology	Molecule_type	Molecule_Type2	Length	Nuc_Completeness	GenBank_Title	Geo_Location	USA	Host	Isolation_Source	Collection_Date	Release_Date	NCBI_Status	Virus name(s)	VMR_Species	VMR_Family	VMR_Genus	Virus GENBANK accession	Genome coverage
NC_078388.1	2595002	Jujube yellow mottle-associated virus	Emaravirus ziziphi	RNA6	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	980	complete	Jujube yellow mottle-associated virus isolate JYMaV1 segment RNA6, complete sequence	China: Liaoning		Ziziphus jujuba		2015-09-20	2023-05-06		jujube yellow mottle-associated virus		Fimoviridae	Emaravirus		
NC_078389.1	2595002	Jujube yellow mottle-associated virus	Emaravirus ziziphi	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1547	complete	Jujube yellow mottle-associated virus isolate JYMaV1 segment RNA4, complete sequence	China: Liaoning		Ziziphus jujuba		2015-09-20	2023-05-06		jujube yellow mottle-associated virus		Fimoviridae	Emaravirus		
NC_078390.1	2595002	Jujube yellow mottle-associated virus	Emaravirus ziziphi	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1259	complete	Jujube yellow mottle-associated virus isolate JYMaV1 segment RNA3, complete sequence	China: Liaoning		Ziziphus jujuba		2015-09-20	2023-05-06		jujube yellow mottle-associated virus		Fimoviridae	Emaravirus		
NC_078391.1	2595002	Jujube yellow mottle-associated virus	Emaravirus ziziphi	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2233	complete	Jujube yellow mottle-associated virus isolate JYMaV1 segment RNA2, complete sequence	China: Liaoning		Ziziphus jujuba		2015-09-20	2023-05-06		jujube yellow mottle-associated virus		Fimoviridae	Emaravirus		
NC_078392.1	2762435	Tomato fruit blotch virus	Blunervirus solani	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	5811	complete	Tomato blunervirus 1 isolate Fondi2018 segment RNA1, complete sequence	Italy		Solanum lycopersicum		2018-10	2023-05-06		tomato fruit blotch virus		Kitaviridae	Blunervirus		
NC_078393.1	2762435	Tomato fruit blotch virus	Blunervirus solani	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	1946	complete	Tomato blunervirus 1 isolate Fondi2018 segment RNA4, complete sequence	Italy		Solanum lycopersicum		2018-10	2023-05-06		tomato fruit blotch virus		Kitaviridae	Blunervirus		
NC_078394.1	2762435	Tomato fruit blotch virus	Blunervirus solani	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	2872	complete	Tomato blunervirus 1 isolate Fondi2018 segment RNA3, complete sequence	Italy		Solanum lycopersicum		2018-10	2023-05-06		tomato fruit blotch virus		Kitaviridae	Blunervirus		
NC_078395.1	2762435	Tomato fruit blotch virus	Blunervirus solani	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3643	complete	Tomato blunervirus 1 isolate Fondi2018 segment RNA2, complete sequence	Italy		Solanum lycopersicum		2018-10	2023-05-06		tomato fruit blotch virus		Kitaviridae	Blunervirus		
NC_078396.1	2603627	Pear chlorotic leaf spot-associated virus	Emaravirus pyri	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1296	complete	Pear chlorotic leaf spot-associated virus isolate PCLSaV-CG1 nucleocapsid protein (QK690_sRNA3gp1) gene, complete cds	China		Pyrus communis		2015-04	2023-05-06		pear chlorotic leaf spot-associated virus		Fimoviridae	Emaravirus		
NC_078397.1	2603627	Pear chlorotic leaf spot-associated virus	Emaravirus pyri	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1543	complete	Pear chlorotic leaf spot-associated virus isolate PCLSaV-CG1 movement protein (QK690_sRNA4gp1) gene, complete cds	China		Pyrus communis		2015-04	2023-05-06		pear chlorotic leaf spot-associated virus		Fimoviridae	Emaravirus		
NC_078398.1	2603627	Pear chlorotic leaf spot-associated virus	Emaravirus pyri	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7100	complete	Pear chlorotic leaf spot-associated virus isolate PCLSaV-CG1 RNA-dependent RNA polymerase (QK690_sRNA1gp1) gene, complete cds	China		Pyrus communis		2015-04	2023-05-06		pear chlorotic leaf spot-associated virus		Fimoviridae	Emaravirus		
NC_078399.1	2603627	Pear chlorotic leaf spot-associated virus	Emaravirus pyri	RNA5	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1253	complete	Pear chlorotic leaf spot-associated virus isolate PCLSaV-CG1 P5 (QK690_sRNA5gp1) gene, complete cds	China		Pyrus communis		2015-04	2023-05-06		pear chlorotic leaf spot-associated virus		Fimoviridae	Emaravirus		
NC_078400.1	2603627	Pear chlorotic leaf spot-associated virus	Emaravirus pyri	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2045	complete	Pear chlorotic leaf spot-associated virus isolate PCLSaV-CG1 glycoprotein precursor (QK690_sRNA2gp1) gene, complete cds	China		Pyrus communis		2015-04	2023-05-06		pear chlorotic leaf spot-associated virus		Fimoviridae	Emaravirus		
NC_078401.1	2601259	Grapevine Muscat rose virus	Rubodvirus argentinaense	RNA1	RefSeq	Segmented_Complete	linear	RNA	RNA	7951	complete	Grapevine Muscat rose virus isolate K335 segment RNA1, complete sequence	Argentina		Vitis vinifera		2017-07-14	2023-05-06		grapevine Muscat rose virus		Phenuiviridae	Rubodvirus		
NC_078402.1	2601259	Grapevine Muscat rose virus	Rubodvirus argentinaense	RNA3	RefSeq	Segmented_Complete	linear	RNA	RNA	1345	complete	Grapevine Muscat rose virus isolate K335 segment RNA3, complete sequence	Argentina		Vitis vinifera		2017-07-14	2023-05-06		grapevine Muscat rose virus		Phenuiviridae	Rubodvirus		
NC_078403.1	2601259	Grapevine Muscat rose virus	Rubodvirus argentinaense	RNA2	RefSeq	Segmented_Complete	linear	RNA	RNA	1456	complete	Grapevine Muscat rose virus isolate K335 segment RNA2, complete sequence	Argentina		Vitis vinifera		2017-07-14	2023-05-06		grapevine Muscat rose virus		Phenuiviridae	Rubodvirus		
NC_078404.1	2601258	Grapevine Garan dmak virus	Rubodvirus armeniaense	RNA3	RefSeq	Segmented_Complete	linear	RNA	RNA	1554	complete	Grapevine Garan dmak virus isolate 332 segment RNA3, complete sequence	Armenia		Vitis vinifera		2018-10-22	2023-05-06		grapevine Garan dmak virus		Phenuiviridae	Rubodvirus		
NC_078405.1	2601258	Grapevine Garan dmak virus	Rubodvirus armeniaense	RNA1	RefSeq	Segmented_Complete	linear	RNA	RNA	8061	complete	Grapevine Garan dmak virus isolate 332 segment RNA1, complete sequence	Armenia		Vitis vinifera		2018-10-22	2023-05-06		grapevine Garan dmak virus		Phenuiviridae	Rubodvirus		
NC_078406.1	2601258	Grapevine Garan dmak virus	Rubodvirus armeniaense	RNA2	RefSeq	Segmented_Complete	linear	RNA	RNA	1612	complete	Grapevine Garan dmak virus isolate 332 segment RNA2, complete sequence	Armenia		Vitis vinifera		2018-10-22	2023-05-06		grapevine Garan dmak virus		Phenuiviridae	Rubodvirus		
NC_078407.1	2661631	European wheat striate mosaic virus	Tenuivirus eurotritici	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2064	complete	European wheat striate mosaic virus segment RNA3, complete sequence	Estonia		Avena sativa		2013-06-28	2023-05-06		European wheat striate mosaic virus		Phenuiviridae	Tenuivirus		
NC_078408.1	2661631	European wheat striate mosaic virus	Tenuivirus eurotritici	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	3448	complete	European wheat striate mosaic virus segment RNA2, complete sequence	Estonia		Avena sativa		2013-06-28	2023-05-06		European wheat striate mosaic virus		Phenuiviridae	Tenuivirus		
NC_078409.1	2661631	European wheat striate mosaic virus	Tenuivirus eurotritici	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	9495	complete	European wheat striate mosaic virus segment RNA1, complete sequence	Estonia		Avena sativa		2013-06-28	2023-05-06		European wheat striate mosaic virus		Phenuiviridae	Tenuivirus		
NC_078410.1	2661631	European wheat striate mosaic virus	Tenuivirus eurotritici	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1891	complete	European wheat striate mosaic virus segment RNA4, complete sequence	Estonia		Avena sativa		2013-06-28	2023-05-06		European wheat striate mosaic virus		Phenuiviridae	Tenuivirus		
NC_078415.1	2843907	Emaravirus camelliae	Emaravirus camelliae	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7109	complete	Emaravirus camelliae isolate CAMNGS2018 RNA dependent RNA polymerase (QK694_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 1		Fimoviridae	Emaravirus		
NC_078416.1	2843907	Emaravirus camelliae	Emaravirus camelliae	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1349	complete	Emaravirus camelliae isolate CAMNGS2018 putative movement protein (QK694_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 1		Fimoviridae	Emaravirus		
NC_078417.1	2843907	Emaravirus camelliae	Emaravirus camelliae	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2054	complete	Emaravirus camelliae isolate CAMNGS2018 putative glycoprotein (QK694_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 1		Fimoviridae	Emaravirus		
NC_078419.1	2843907	Emaravirus camelliae	Emaravirus camelliae	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1360	complete	Emaravirus camelliae isolate CAMNGS2018 putative nucleocapsid (QK694_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 1		Fimoviridae	Emaravirus		
NC_078428.1	2843908	Emaravirus verbanni	Emaravirus verbanni	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7120	complete	Emaravirus verbanni isolate CAMNGS2018 RNA dependent RNA polymerase (QK696_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 2		Fimoviridae	Emaravirus		
NC_078429.1	2843908	Emaravirus verbanni	Emaravirus verbanni	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1154	complete	Emaravirus verbanni isolate CAMNGS2018 putative movement protein (QK696_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 2		Fimoviridae	Emaravirus		
NC_078430.1	2843908	Emaravirus verbanni	Emaravirus verbanni	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1316	complete	Emaravirus verbanni isolate CAMNGS2018 putative nucleocapsid (QK696_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 2		Fimoviridae	Emaravirus		
NC_078431.1	2843908	Emaravirus verbanni	Emaravirus verbanni	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2089	complete	Emaravirus verbanni isolate CAMNGS2018 putative glycoprotein (QK696_gp1) gene, complete cds	Italy		Camellia japonica		2018	2023-05-06		Camellia japonica-associated virus 2		Fimoviridae	Emaravirus		
NC_078441.1	2719116	Lilac chlorotic ringspot-associated virus	Emaravirus syringae	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7047	complete	Lilac chlorotic ringspot-associated virus isolate SX-1 segment RNA1, complete sequence	China		Syringa vulgaris		2018	2023-05-06		lilac chlorotic ringspot-associated virus		Fimoviridae	Emaravirus		
NC_078442.1	2719116	Lilac chlorotic ringspot-associated virus	Emaravirus syringae	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1657	complete	Lilac chlorotic ringspot-associated virus isolate SX-1 segment RNA4, complete sequence	China		Syringa vulgaris		2018	2023-05-06		lilac chlorotic ringspot-associated virus		Fimoviridae	Emaravirus		
NC_078443.1	2719116	Lilac chlorotic ringspot-associated virus	Emaravirus syringae	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2268	complete	Lilac chlorotic ringspot-associated virus isolate SX-1 segment RNA2, complete sequence	China		Syringa vulgaris		2018	2023-05-06		lilac chlorotic ringspot-associated virus		Fimoviridae	Emaravirus		
NC_078444.1	2719116	Lilac chlorotic ringspot-associated virus	Emaravirus syringae	RNA5	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1269	complete	Lilac chlorotic ringspot-associated virus isolate SX-1 segment RNA5, complete sequence	China		Syringa vulgaris		2018	2023-05-06		lilac chlorotic ringspot-associated virus		Fimoviridae	Emaravirus		
NC_078445.1	2719116	Lilac chlorotic ringspot-associated virus	Emaravirus syringae	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1557	complete	Lilac chlorotic ringspot-associated virus isolate SX-1 segment RNA3, complete sequence	China		Syringa vulgaris		2018	2023-05-06		lilac chlorotic ringspot-associated virus		Fimoviridae	Emaravirus		
NC_078446.1	2755145	Grapevine associated cogu-like virus 4	Laulavirus gammaviticulum	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1665	complete	Grapevine associated cogu-like virus 4 isolate CREA-VE segment RNA3, complete sequence	Italy				2017	2023-05-06		grapevine associated cogu-like virus 4		Phenuiviridae	Laulavirus		
NC_078447.1	2755145	Grapevine associated cogu-like virus 4	Laulavirus gammaviticulum	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2250	complete	Grapevine associated cogu-like virus 4 isolate CREA-VE segment RNA2, complete sequence	Italy				2017	2023-05-06		grapevine associated cogu-like virus 4		Phenuiviridae	Laulavirus		
NC_078448.1	2755145	Grapevine associated cogu-like virus 4	Laulavirus gammaviticulum	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7396	complete	Grapevine associated cogu-like virus 4 isolate CREA-VE segment RNA1, complete sequence	Italy				2017	2023-05-06		grapevine associated cogu-like virus 4		Phenuiviridae	Laulavirus		
NC_078466.1	2058093	Red clover varicosavirus	Red clover varicosavirus	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	4026	complete	Red clover varicosavirus isolate HZ2 segment RNA2, complete sequence	Czech Republic		Trifolium pratense		2016-11	2023-05-06							
NC_078467.1	2058093	Red clover varicosavirus	Red clover varicosavirus	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	6320	complete	Red clover varicosavirus isolate HZ2 segment RNA1, complete sequence	Czech Republic		Trifolium pratense		2016-11	2023-05-06							
NC_078582.1	2802553	Green Sichuan pepper nepovirus	Nepovirus sichuanense	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	7083	complete	Green Sichuan pepper nepovirus isolate ZPNe1 segment RNA2, complete sequence	China		Zanthoxylum		2017-06	2023-05-06		green Sichuan pepper nepovirus		Secoviridae	Nepovirus		
NC_078583.1	2802553	Green Sichuan pepper nepovirus	Nepovirus sichuanense	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	7871	complete	Green Sichuan pepper nepovirus isolate ZPNe1 segment RNA1, complete sequence	China		Zanthoxylum		2017-06	2023-05-06		green Sichuan pepper nepovirus		Secoviridae	Nepovirus		
NC_078590.1	2570606	Arabidopsis latent virus 1	Comovirus arabidopsis	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	5953	complete	Arabidopsis latent virus-1 segment RNA1, complete sequence	Netherlands		Arabidopsis thaliana		2015	2023-05-06		Arabidopsis latent virus 1		Secoviridae	Comovirus		
NC_078591.1	2570606	Arabidopsis latent virus 1	Comovirus arabidopsis	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3600	complete	Arabidopsis latent virus-1 segment RNA2, complete sequence	Netherlands		Arabidopsis thaliana		2015	2023-05-06		Arabidopsis latent virus 1		Secoviridae	Comovirus		
NC_078592.1	2530363	Caraway yellows virus	Nepovirus cari	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	6427	complete	Caraway yellows virus isolate JKI 27894 segment RNA2, complete sequence	Germany		Nicotiana benthamiana		2016	2023-05-06		caraway yellows virus		Secoviridae	Nepovirus		
NC_078593.1	2530363	Caraway yellows virus	Nepovirus cari	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	8048	complete	Caraway yellows virus isolate JKI 27894 segment RNA1, complete sequence	Germany		Nicotiana benthamiana		2016	2023-05-06		caraway yellows virus		Secoviridae	Nepovirus		
NC_078594.1	2555551	Pepper mild mosaic virus	Comovirus capsici	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	6028	complete	Pepper mild mosaic virus segment RNA1, complete sequence	Honduras		Capsicum frutescens		1992	2023-05-06		pepper mild mosaic virus		Secoviridae	Comovirus		
NC_078595.1	2555551	Pepper mild mosaic virus	Comovirus capsici	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3646	complete	Pepper mild mosaic virus segment RNA2, complete sequence	Honduras		Capsicum frutescens		1992	2023-05-06		pepper mild mosaic virus		Secoviridae	Comovirus		
NC_078625.1	2726258	Pineapple secovirus A	Sadwavirus alphananas	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	4161	complete	Pineapple secovirus A isolate HANA187 segment RNA2, complete sequence	USA: Hawaii	HI	Ananas comosus		2018	2023-05-06		pineapple secovirus A		Secoviridae	Sadwavirus		
NC_078626.1	2726258	Pineapple secovirus A	Sadwavirus alphananas	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	6128	complete	Pineapple secovirus A isolate HANA187 segment RNA1, complete sequence	USA: Hawaii	HI	Ananas comosus		2018	2023-05-06		pineapple secovirus A		Secoviridae	Sadwavirus		
NC_078627.1	2728245	Phaseolus vulgaris severe mosaic virus	Comovirus phaseoli	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3762	complete	Phaseolus vulgaris severe mosaic virus isolate CG6 segment RNA2, complete sequence	Mexico: Celaya, Guanajuato		Phaseolus vulgaris		2015-09-21	2023-05-06		Phaseolus vulgaris severe mosaic virus		Secoviridae	Comovirus		
NC_078628.1	2728245	Phaseolus vulgaris severe mosaic virus	Comovirus phaseoli	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	5969	complete	Phaseolus vulgaris severe mosaic virus isolate CG6 segment RNA1, complete sequence	Mexico: Celaya, Guanajuato		Phaseolus vulgaris		2015-09-21	2023-05-06		Phaseolus vulgaris severe mosaic virus		Secoviridae	Comovirus		
NC_078638.1	2789373	Grapevine nepovirus A	Nepovirus alphavitis	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	4460	complete	Grapevine nepovirus A isolate 125 segment RNA2, complete sequence	France		Vitis vinifera		2017-12-11	2023-05-06		grapevine nepovirus A		Secoviridae	Nepovirus		
NC_078639.1	2789373	Grapevine nepovirus A	Nepovirus alphavitis	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	7186	complete	Grapevine nepovirus A isolate 125 segment RNA1, complete sequence	France		Vitis vinifera		2017-12-11	2023-05-06		grapevine nepovirus A		Secoviridae	Nepovirus		
NC_078655.1	2822470	Poaceae Liege nepovirus A	Nepovirus poaceae	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	4263	complete	Poaceae Liege nepovirus A isolate Antheit polyprotein (QK751_sRNA2gp1) gene, complete cds	Belgium		Poa trivialis		2018	2023-05-06		poaceae Liege nepovirus A		Secoviridae	Nepovirus		
NC_078656.1	2822470	Poaceae Liege nepovirus A	Nepovirus poaceae	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	7298	complete	Poaceae Liege nepovirus A isolate Antheit polyprotein (QK751_sRNA1gp1) gene, complete cds	Belgium		Poa trivialis		2018	2023-05-06		poaceae Liege nepovirus A		Secoviridae	Nepovirus		
NC_078663.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA3a	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1390	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA3a, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078664.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA6	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1707	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA6, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078665.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7093	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA1, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078666.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA5	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1154	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA5, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078667.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2054	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA2, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078668.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1303	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA4, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078669.1	2746510	Chrysanthemum mosaic-associated virus	Emaravirus chrysanthemi	RNA3b	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1215	complete	Chrysanthemum mosaic-associated virus Aichi_Toyohashi_2018 viral cRNA, segment RNA3b, complete sequence	Japan: Aichi, Toyohashi		Chrysanthemum x morifolium	plant leaf	2018-07	2023-05-06		chrysanthemum mosaic-associated virus		Fimoviridae	Emaravirus		
NC_078670.1	2741672	Grapevine line pattern virus	Anulavirus GLPV	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	2493	complete	Grapevine line pattern virus isolate Baco22A segment RNA2, complete sequence	Hungary		Vitis vinifera		2018-03-20	2023-05-06		grapevine line pattern virus		Bromoviridae	Anulavirus		
NC_078671.1	2741672	Grapevine line pattern virus	Anulavirus GLPV	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	2529	complete	Grapevine line pattern virus isolate Baco22A segment RNA3, complete sequence	Hungary		Vitis vinifera		2018-03-20	2023-05-06		grapevine line pattern virus		Bromoviridae	Anulavirus		
NC_078672.1	2741672	Grapevine line pattern virus	Anulavirus GLPV	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3160	complete	Grapevine line pattern virus isolate Baco22A segment RNA1, complete sequence	Hungary		Vitis vinifera		2018-03-20	2023-05-06		grapevine line pattern virus		Bromoviridae	Anulavirus		
NC_078673.1	2809748	Hibiscus yellow blotch virus	Cilevirus oahuense	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	8382	complete	Hibiscus yellow blotch virus isolate OUGC segment RNA1, complete sequence	USA: Hawaii	HI	Hibiscus rosa-sinensis		2019-07	2023-05-06		Hibiscus yellow blotch virus		Kitaviridae	Cilevirus		
NC_078674.1	2809748	Hibiscus yellow blotch virus	Cilevirus oahuense	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	4411	complete	Hibiscus yellow blotch virus isolate OUGC segment RNA2, complete sequence	USA: Hawaii	HI	Hibiscus rosa-sinensis		2019-07	2023-05-06		Hibiscus yellow blotch virus		Kitaviridae	Cilevirus		
NC_078675.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA4	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1533	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA4, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078676.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	2289	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA2, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078677.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA5	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1825	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA5, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078678.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA3	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1525	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA3, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078679.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	7074	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA1, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078680.1	2778521	Maple mottle-associated virus	Emaravirus aceris	RNA6	RefSeq	Segmented_Complete	linear	ssRNA(-)	RNA	1179	complete	Maple mottle-associated virus strain MaMaV/Acer segment RNA6, complete sequence	Germany: Berlin, Gruenewald		Acer pseudoplatanus		2014-06	2023-05-06		maple mottle-associated virus		Fimoviridae	Emaravirus		
NC_078685.1	1676256	Lychnis mottle virus	Stralarivirus lychnis	RNA1	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	7444	complete	Lychnis mottle virus isolate Andong segment RNA1, complete sequence	South Korea		Silene cognata		2013-06-19	2023-05-06		lychnis mottle virus		Secoviridae	Stralarivirus		
NC_078686.1	1676256	Lychnis mottle virus	Stralarivirus lychnis	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	3755	complete	Lychnis mottle virus isolate Andong segment RNA2, complete sequence	South Korea		Silene cognata		2013-06-19	2023-05-06		lychnis mottle virus		Secoviridae	Stralarivirus		
NC_078767.1	2035396	Lettuce secovirus 1	Sadwavirus lactucae	RNA2	RefSeq	Segmented_Complete	linear	ssRNA(+)	RNA	6553	complete	Lettuce secovirus 1 isolate LSV-1 segment RNA2 polyprotein (QK772_sRNA2gp1) gene, complete cds	United Kingdom		Lactuca sativa		2015	2023-05-06		lettuce secovirus 1		Secoviridae	Sadwavirus		
